,count,mean,std,min,25%,50%,75%,max
MDVP_Fo_Hz,195.0,154.22864102564102,41.39006474907147,88.333,117.572,148.79,182.769,260.105
MDVP_Fhi_Hz,195.0,197.10491794871797,91.49154763503036,102.145,134.8625,175.829,224.2055,592.03
MDVP_Flo_Hz,195.0,116.32463076923077,43.521413181993644,65.476,84.291,104.315,140.01850000000002,239.17
MDVP_Jitter,195.0,0.006220461538461538,0.004848133692602562,0.00168,0.00346,0.00494,0.007365,0.03316
MDVP_Jitter_Abs,195.0,4.395897435897436e-05,3.482190859976327e-05,7e-06,2e-05,3e-05,6e-05,0.00026
MDVP_RAP,195.0,0.003306410256410257,0.0029677744162016897,0.00068,0.00166,0.0025,0.003835,0.02144
MDVP_PPQ,195.0,0.003446358974358974,0.0027589766469679304,0.00092,0.00186,0.00269,0.003955,0.01958
Jitter_DDP,195.0,0.009919948717948717,0.008903344355858987,0.00204,0.004985,0.00749,0.011505000000000001,0.06433
MDVP_Shimmer,195.0,0.0297091282051282,0.018856931858946806,0.00954,0.016505,0.02297,0.037885,0.11908
MDVP_Shimmer_dB,195.0,0.2822512820512821,0.19487729006053411,0.085,0.1485,0.221,0.35,1.302
Shimmer_APQ3,195.0,0.015664153846153845,0.010153161595709016,0.00455,0.008245,0.01279,0.020265,0.05647
Shimmer_APQ5,195.0,0.017878256410256407,0.012023705538741731,0.0057,0.00958,0.01347,0.02238,0.0794
MDVP_APQ,195.0,0.02408148717948718,0.01694673624702943,0.00719,0.01308,0.01826,0.0294,0.13778
Shimmer_DDA,195.0,0.04699261538461539,0.030459119431240408,0.01364,0.024735,0.03836,0.060795,0.16942
NHR,195.0,0.02484707692307692,0.04041844855606929,0.00065,0.005925,0.01166,0.02564,0.31482
HNR,195.0,21.885974358974355,4.425764269063427,8.441,19.198,22.085,25.075499999999998,33.047
status,195.0,0.7538461538461538,0.4318780337122657,0.0,1.0,1.0,1.0,1.0
RPDE,195.0,0.4985355384615385,0.10394171413073468,0.25657,0.421306,0.495954,0.5875625,0.685151
DFA,195.0,0.7180990461538461,0.055335830346596795,0.574282,0.6747575,0.722254,0.7618815,0.825288
spread1,195.0,-5.684396743589745,1.090207763740309,-7.964984,-6.450096,-5.720868,-5.046192,-2.434031
spread2,195.0,0.22651034871794873,0.08340576262039774,0.006274,0.17435050000000002,0.218885,0.279234,0.450493
D2,195.0,2.3818260871794874,0.38279904654611663,1.423287,2.0991255,2.361532,2.636456,3.671155
PPE,195.0,0.20655164102564103,0.0901193224822751,0.044539,0.137451,0.194052,0.25298,0.527367
